Date,Open,High,Low,Close,Adj Close,Volume
2010-01-26,95.000000,95.000000,95.000000,95.000000,95.000000,0
2010-01-27,95.792198,95.792198,95.792198,95.792198,95.792198,0
2010-01-28,93.279701,93.279701,93.279701,93.279701,93.279701,0
2010-01-29,91.696602,91.696602,91.696602,91.696602,91.696602,0
2010-02-01,92.730904,92.730904,92.730904,92.730904,92.730904,0
2010-02-02,93.583000,93.583000,93.583000,93.583000,93.583000,0
2010-02-03,94.006401,94.006401,94.006401,94.006401,94.006401,0
2010-02-04,91.282402,91.282402,91.282402,91.282402,91.282402,0
2010-02-05,91.972900,91.972900,91.972900,91.972900,91.972900,0
2010-02-08,91.386597,91.386597,91.386597,91.386597,91.386597,0
2010-02-09,92.384598,92.384598,92.384598,92.384598,92.384598,0
2010-02-10,92.177002,92.177002,92.177002,92.177002,92.177002,0
2010-02-11,93.547203,93.547203,93.547203,93.547203,93.547203,0
2010-02-12,93.723900,93.723900,93.723900,93.723900,93.723900,0
2010-02-15,93.723900,93.723900,93.723900,93.723900,93.723900,0
2010-02-16,94.951401,94.951401,94.951401,94.951401,94.951401,0
2010-02-17,95.422501,95.422501,95.422501,95.422501,95.422501,0
2010-02-18,96.088997,96.088997,96.088997,96.088997,96.088997,0
2010-02-19,96.091499,96.091499,96.091499,96.091499,96.091499,0
2010-02-22,95.791100,95.791100,95.791100,95.791100,95.791100,0
2010-02-23,94.537300,94.537300,94.537300,94.537300,94.537300,0
2010-02-24,95.536797,95.536797,95.536797,95.536797,95.536797,0
2010-02-25,95.557899,95.557899,95.557899,95.557899,95.557899,0
2010-02-26,95.860497,95.860497,95.860497,95.860497,95.860497,0
2010-03-01,97.316902,97.316902,97.316902,97.316902,97.316902,0
2010-03-02,97.569000,97.569000,97.569000,97.569000,97.569000,0
2010-03-03,97.590302,97.590302,97.590302,97.590302,97.590302,0
2010-03-04,98.018600,98.018600,98.018600,98.018600,98.018600,0
2010-03-05,99.535400,99.535400,99.535400,99.535400,99.535400,0
2010-03-08,99.660896,99.660896,99.660896,99.660896,99.660896,0
2010-03-09,100.212799,100.212799,100.212799,100.212799,100.212799,0
2010-03-10,101.059402,101.059402,101.059402,101.059402,101.059402,0
2010-03-11,101.398300,101.398300,101.398300,101.398300,101.398300,0
2010-03-12,101.430099,101.430099,101.430099,101.430099,101.430099,0
2010-03-15,101.198402,101.198402,101.198402,101.198402,101.198402,0
2010-03-16,101.836998,101.836998,101.836998,101.836998,101.836998,0
2010-03-17,102.045898,102.045898,102.045898,102.045898,102.045898,0
2010-03-18,102.450897,102.450897,102.450897,102.450897,102.450897,0
2010-03-19,101.844299,101.844299,101.844299,101.844299,101.844299,0
2010-03-22,102.744301,102.744301,102.744301,102.744301,102.744301,0
2010-03-23,103.459702,103.459702,103.459702,103.459702,103.459702,0
2010-03-24,102.863602,102.863602,102.863602,102.863602,102.863602,0
2010-03-25,102.722198,102.722198,102.722198,102.722198,102.722198,0
2010-03-26,102.904297,102.904297,102.904297,102.904297,102.904297,0
2010-03-29,103.354401,103.354401,103.354401,103.354401,103.354401,0
2010-03-30,103.707497,103.707497,103.707497,103.707497,103.707497,0
2010-03-31,103.201103,103.201103,103.201103,103.201103,103.201103,0
2010-04-01,103.263702,103.263702,103.263702,103.263702,103.263702,0
2010-04-06,104.445396,104.445396,104.445396,104.445396,104.445396,0
2010-04-07,104.200203,104.200203,104.200203,104.200203,104.200203,0
2010-04-08,104.381897,104.381897,104.381897,104.381897,104.381897,0
2010-04-09,105.100899,105.100899,105.100899,105.100899,105.100899,0
2010-04-12,105.167999,105.167999,105.167999,105.167999,105.167999,0
2010-04-13,105.612801,105.612801,105.612801,105.612801,105.612801,0
2010-04-14,106.926804,106.926804,106.926804,106.926804,106.926804,0
2010-04-15,107.442802,107.442802,107.442802,107.442802,107.442802,0
2010-04-16,106.082703,106.082703,106.082703,106.082703,106.082703,0
2010-04-19,106.116699,106.116699,106.116699,106.116699,106.116699,0
2010-04-20,106.644997,106.644997,106.644997,106.644997,106.644997,0
2010-04-21,107.220100,107.220100,107.220100,107.220100,107.220100,0
2010-04-22,107.777199,107.777199,107.777199,107.777199,107.777199,0
2010-04-23,108.311600,108.311600,108.311600,108.311600,108.311600,0
2010-04-26,107.979202,107.979202,107.979202,107.979202,107.979202,0
2010-04-27,105.724197,105.724197,105.724197,105.724197,105.724197,0
2010-04-28,105.794098,105.794098,105.794098,105.794098,105.794098,0
2010-04-29,107.652603,107.652603,107.652603,107.652603,107.652603,0
2010-04-30,105.429298,105.429298,105.429298,105.429298,105.429298,0
2010-05-04,103.757896,103.757896,103.757896,103.757896,103.757896,0
2010-05-05,103.209702,103.209702,103.209702,103.209702,103.209702,0
2010-05-06,99.813698,99.813698,99.813698,99.813698,99.813698,0
2010-05-07,97.480797,97.480797,97.480797,97.480797,97.480797,0
2010-05-10,102.390297,102.390297,102.390297,102.390297,102.390297,0
2010-05-11,102.276802,102.276802,102.276802,102.276802,102.276802,0
2010-05-12,104.127701,104.127701,104.127701,104.127701,104.127701,0
2010-05-13,102.547096,102.547096,102.547096,102.547096,102.547096,0
2010-05-14,100.524101,100.524101,100.524101,100.524101,100.524101,0
2010-05-17,100.970001,100.970001,100.970001,100.970001,100.970001,0
2010-05-18,99.493202,99.493202,99.493202,99.493202,99.493202,0
2010-05-19,98.777802,98.777802,98.777802,98.777802,98.777802,0
2010-05-20,94.918198,94.918198,94.918198,94.918198,94.918198,0
2010-05-21,96.106796,96.106796,96.106796,96.106796,96.106796,0
2010-05-24,95.713097,95.713097,95.713097,95.713097,95.713097,0
2010-05-25,95.734497,95.734497,95.734497,95.734497,95.734497,0
2010-05-26,94.744202,94.744202,94.744202,94.744202,94.744202,0
2010-05-27,98.229500,98.229500,98.229500,98.229500,98.229500,0
2010-05-28,97.687599,97.687599,97.687599,97.687599,97.687599,0
2010-06-01,96.771103,96.771103,96.771103,96.771103,96.771103,0
2010-06-02,99.151604,99.151604,99.151604,99.151604,99.151604,0
2010-06-03,99.996696,99.996696,99.996696,99.996696,99.996696,0
2010-06-04,96.648903,96.648903,96.648903,96.648903,96.648903,0
2010-06-07,94.862900,94.862900,94.862900,94.862900,94.862900,0
2010-06-08,94.733398,94.733398,94.733398,94.733398,94.733398,0
2010-06-09,93.854599,93.854599,93.854599,93.854599,93.854599,0
2010-06-10,96.545303,96.545303,96.545303,96.545303,96.545303,0
2010-06-11,97.439598,97.439598,97.439598,97.439598,97.439598,0
2010-06-14,97.348000,97.348000,97.348000,97.348000,97.348000,0
2010-06-15,100.080002,100.080002,100.080002,100.080002,100.080002,0
2010-06-16,100.486702,100.486702,100.486702,100.486702,100.486702,0
2010-06-17,100.766800,100.766800,100.766800,100.766800,100.766800,0
2010-06-18,100.913902,100.913902,100.913902,100.913902,100.913902,0
2010-06-21,99.982803,99.982803,99.982803,99.982803,99.982803,0
2010-06-22,99.175301,99.175301,99.175301,99.175301,99.175301,0
2010-06-23,98.855103,98.855103,98.855103,98.855103,98.855103,0
2010-06-24,97.283302,97.283302,97.283302,97.283302,97.283302,0
2010-06-25,96.962097,96.962097,96.962097,96.962097,96.962097,0
2010-06-28,96.827202,96.827202,96.827202,96.827202,96.827202,0
2010-06-29,93.037399,93.037399,93.037399,93.037399,93.037399,0
2010-06-30,91.724403,91.724403,91.724403,91.724403,91.724403,0
2010-07-01,91.475403,91.475403,91.475403,91.475403,91.475403,0
2010-07-02,91.160103,91.160103,91.160103,91.160103,91.160103,0
2010-07-05,null,null,null,null,null,null
2010-07-06,91.490700,91.490700,91.490700,91.490700,91.490700,0
2010-07-07,94.391197,94.391197,94.391197,94.391197,94.391197,0
2010-07-08,94.842400,94.842400,94.842400,94.842400,94.842400,0
2010-07-09,95.708603,95.708603,95.708603,95.708603,95.708603,0
2010-07-12,96.039398,96.039398,96.039398,96.039398,96.039398,0
2010-07-13,97.303497,97.303497,97.303497,97.303497,97.303497,0
2010-07-14,97.744904,97.744904,97.744904,97.744904,97.744904,0
2010-07-15,97.893501,97.893501,97.893501,97.893501,97.893501,0
2010-07-16,95.116798,95.116798,95.116798,95.116798,95.116798,0
2010-07-19,95.946503,95.946503,95.946503,95.946503,95.946503,0
2010-07-20,97.072502,97.072502,97.072502,97.072502,97.072502,0
2010-07-21,95.839104,95.839104,95.839104,95.839104,95.839104,0
2010-07-22,98.250000,98.250000,98.250000,98.250000,98.250000,0
2010-07-23,98.896004,98.896004,98.896004,98.896004,98.896004,0
2010-07-26,99.685600,99.685600,99.685600,99.685600,99.685600,0
2010-07-27,99.601601,99.601601,99.601601,99.601601,99.601601,0
2010-07-28,98.747902,98.747902,98.747902,98.747902,98.747902,0
2010-07-29,98.104599,98.104599,98.104599,98.104599,98.104599,0
2010-07-30,98.300003,98.300003,98.300003,98.300003,98.300003,0
2010-08-02,100.154800,100.154800,100.154800,100.154800,100.154800,0
2010-08-03,99.775902,99.775902,99.775902,99.775902,99.775902,0
2010-08-04,100.708603,100.708603,100.708603,100.708603,100.708603,0
2010-08-05,100.484299,100.484299,100.484299,100.484299,100.484299,0
2010-08-06,100.375298,100.375298,100.375298,100.375298,100.375298,0
2010-08-09,101.023598,101.023598,101.023598,101.023598,101.023598,0
2010-08-10,100.186096,100.186096,100.186096,100.186096,100.186096,0
2010-08-11,97.349503,97.349503,97.349503,97.349503,97.349503,0
2010-08-12,96.654404,96.654404,96.654404,96.654404,96.654404,0
2010-08-13,95.949097,95.949097,95.949097,95.949097,95.949097,0
2010-08-16,96.089600,96.089600,96.089600,96.089600,96.089600,0
2010-08-17,97.369904,97.369904,97.369904,97.369904,97.369904,0
2010-08-18,97.660896,97.660896,97.660896,97.660896,97.660896,0
2010-08-19,96.194298,96.194298,96.194298,96.194298,96.194298,0
2010-08-20,96.339203,96.339203,96.339203,96.339203,96.339203,0
2010-08-23,95.419502,95.419502,95.419502,95.419502,95.419502,0
2010-08-24,93.678200,93.678200,93.678200,93.678200,93.678200,0
2010-08-25,94.520302,94.520302,94.520302,94.520302,94.520302,0
2010-08-26,93.367203,93.367203,93.367203,93.367203,93.367203,0
2010-08-27,94.558800,94.558800,94.558800,94.558800,94.558800,0
2010-08-31,93.281700,93.281700,93.281700,93.281700,93.281700,0
2010-09-01,96.057098,96.057098,96.057098,96.057098,96.057098,0
2010-09-02,97.139198,97.139198,97.139198,97.139198,97.139198,0
2010-09-03,98.710503,98.710503,98.710503,98.710503,98.710503,0
